authIdHalFullName_fs	authIdHalFullName_fs	halId_s	docType_s	producedDateY_i	fileMain_s	doiId_s
Kaï Fechner,Frédéric Broes,Adrien Gonnet	"c(""kai-fechner_FacetSep_Kaï Fechner"", ""frederic-broes_FacetSep_Frédéric Broes"", ""_FacetSep_Adrien Gonnet"")"	hal-04413017	POSTER	2023	https://inrap.hal.science/hal-04413017/document	10.34692/wd5z-pw68
Luc Sandevoir,Laurent Lespez,Candide Lissak	"c(""_FacetSep_Luc Sandevoir"", ""lespez_FacetSep_Laurent Lespez"", ""candide-lissak_FacetSep_Candide Lissak"")"	hal-04078616	ART	2023	https://hal.science/hal-04078616/document	10.3390/land12040784
Carole Adam,Hélène Arduin	"c(""carole-adam_FacetSep_Carole Adam"", ""_FacetSep_Hélène Arduin"")"	hal-03613433	COMM	2022	https://hal.science/hal-03613433/document	NA
Françoise Lucchini,Lola Jordan,Armelle Couillet,Nicolas Georges,Jérôme Belmon,Thierry Claerr,Valérie Travier,Wilfried Muller,Élisa Capelle,Timothée Croizé,Guillaume Hatt	"c(""francoise-lucchini_FacetSep_Françoise Lucchini"", ""_FacetSep_Lola Jordan"", ""armelle-couillet_FacetSep_Armelle Couillet"", ""_FacetSep_Nicolas Georges"", ""jerome-belmon_FacetSep_Jérôme Belmon"", ""_FacetSep_Thierry Claerr"", ""_FacetSep_Valérie Travier"", ""_FacetSep_Wilfried Muller"", ""_FacetSep_Élisa Capelle"", ""_FacetSep_Timothée Croizé"", ""_FacetSep_Guillaume Hatt"")"	halshs-04444109	OUV	2024	https://shs.hal.science/halshs-04444109/document	10.48390/t15t-kf51
Virginie Duvat,Alexandre Magnan,Lydie Goeldner-Gianella,Delphine Grancher,Stéphane Costa,Olivier Maquaire,Gonéri Le Cozannet,Lucile Stahl,Natacha Volto,Cécilia Pignon-Mussaud	"c(""virginie-duvat_FacetSep_Virginie Duvat"", ""_FacetSep_Alexandre Magnan"", ""_FacetSep_Lydie Goeldner-Gianella"", ""delphine-grancher_FacetSep_Delphine Grancher"", ""_FacetSep_Stéphane Costa"", ""_FacetSep_Olivier Maquaire"", ""goneri-le-cozannet_FacetSep_Gonéri Le Cozannet"", ""_FacetSep_Lucile Stahl"", ""_FacetSep_Natacha Volto"", ""_FacetSep_Cécilia Pignon-Mussaud"")"	hal-03755837	ART	2022	https://hal.science/hal-03755837/document	10.1038/s41598-022-18109-8
Sarah Bortolamiol,Thierry Feuillet,Wilson Kagoro,Rukia Namirembe,Edward Asalu,Sabrina Krief	"c(""sarah-bortolamiol_FacetSep_Sarah Bortolamiol"", ""thierry-feuillet_FacetSep_Thierry Feuillet"", ""_FacetSep_Wilson Kagoro"", ""_FacetSep_Rukia Namirembe"", ""_FacetSep_Edward Asalu"", ""_FacetSep_Sabrina Krief"")"	hal-04017586	ART	2023	https://hal.science/hal-04017586/document	10.3390/ani13050771
Olivier Gillet,Éric Daudé,Monique Gherardi,Frédéric Leone,Jean-Christophe Komorowski	"c(""_FacetSep_Olivier Gillet"", ""_FacetSep_Éric Daudé"", ""_FacetSep_Monique Gherardi"", ""_FacetSep_Frédéric Leone"", ""_FacetSep_Jean-Christophe Komorowski"")"	hal-04312547	ART	2023	https://hal.science/hal-04312547/document	10.4000/echogeo.25521
Thierry Feuillet,Hélène Charreire	"c(""thierry-feuillet_FacetSep_Thierry Feuillet"", ""helene-charreire_FacetSep_Hélène Charreire"")"	hal-04184229	COUV	2023	https://hal.science/hal-04184229/document	10.51926/iste.9109.ch5
Guillaume Cantin,Cristiana J. Silva,Arnaud Banos	"c(""_FacetSep_Guillaume Cantin"", ""_FacetSep_Cristiana J. Silva"", ""arnaud-banos_FacetSep_Arnaud Banos"")"	hal-03618929	ART	2022	https://hal.science/hal-03618929/document	10.3934/nhm.2022010
Christophe Maneuvrier,Jérôme Jambu,Maryse Blet-Lemarquand	"c(""christophe-maneuvrier_FacetSep_Christophe Maneuvrier"", ""jerome-jambu_FacetSep_Jérôme Jambu"", ""maryse-blet-lemarquand_FacetSep_Maryse Blet-Lemarquand"")"	hal-04198081	ART	2023	https://hal.science/hal-04198081/document	NA
